Time,Topic,Location,Measure,CustomerID,DateReported,PossiblePoints,Question,Correct
Spring,Trivia,Trivia-Istanbul,La Case De Papel Pre-Measure,9028521,12/16/2019 10:04,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9025047,11/8/2019 11:51,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Post-Measure,9025047,5/29/2020 10:48,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Pre-Measure,9033201,3/21/2020 14:10,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9029013,1/3/2020 11:18,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Post-Measure,9029013,1/12/2020 17:11,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Pre-Measure,9026137,11/25/2019 15:12,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Post-Measure,9026137,12/8/2019 19:52,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Pre-Measure,9028541,1/6/2020 19:59,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Post-Measure,9028541,2/8/2020 20:16,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Pre-Measure,9029557,1/16/2020 12:51,20,What was the Professor's real name? ,N
Spring,Trivia,Trivia-Rio,La Case De Papel Post-Measure,9029557,2/5/2020 13:07,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9024515,11/4/2019 6:25,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Post-Measure,9024515,12/9/2019 12:15,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Pre-Measure,9028559,1/3/2020 16:28,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Post-Measure,9028559,1/9/2020 12:36,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Case De Papel Pre-Measure,9025961,11/24/2020 10:45,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9024473,11/4/2019 13:21,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Post-Measure,9024473,12/29/2019 14:07,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Case De Papel Pre-Measure,9000239,12/12/2019 6:05,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Case De Papel Post-Measure,9000239,12/25/2019 13:20,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Case De Papel Pre-Measure,9013249,11/4/2019 8:08,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Case De Papel Post-Measure,9013249,2/26/2020 11:39,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Pre-Measure,9029529,1/10/2020 9:18,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Post-Measure,9029529,1/16/2020 18:09,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Case De Papel Pre-Measure,9021133,11/4/2019 11:15,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Case De Papel Pre-Measure,9033105,3/19/2020 11:59,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Case De Papel Post-Measure,9033105,3/30/2020 13:10,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Pre-Measure,9014683,11/17/2019 18:34,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Post-Measure,9014683,12/19/2019 8:28,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9021077,11/6/2019 20:02,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Nairobi,La Case De Papel Pre-Measure,9024859,11/12/2019 12:38,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Nairobi,La Case De Papel Post-Measure,9024859,12/23/2019 11:40,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9024583,11/9/2019 11:59,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Post-Measure,9024583,11/30/2019 16:57,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Case De Papel Pre-Measure,9010073,12/17/2019 9:21,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Case De Papel Post-Measure,9010073,2/24/2020 13:41,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Case De Papel Pre-Measure,9033085,3/19/2020 7:22,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Case De Papel Post-Measure,9033085,5/22/2020 10:52,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Palermo,La Case De Papel Pre-Measure,9024739,11/11/2019 8:54,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Palermo,La Case De Papel Post-Measure,9024739,12/20/2019 11:01,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Case De Papel Pre-Measure,9010227,12/9/2019 6:03,20,What was the Professor's real name? ,N
Spring,Trivia,Trivia-Denver,La Case De Papel Post-Measure,9010227,12/9/2019 6:14,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Pre-Measure,9024503,11/4/2019 7:10,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Case De Papel Post-Measure,9024503,12/9/2019 13:48,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Pre-Measure,9011603,11/4/2019 16:22,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Post-Measure,9011603,12/11/2019 7:33,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Tokyo,La Case De Papel Pre-Measure,9025801,11/20/2019 17:56,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Tokyo,La Case De Papel Post-Measure,9025801,12/3/2019 12:45,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Case De Papel Pre-Measure,9025935,11/21/2019 18:22,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Palermo,La Case De Papel Pre-Measure,9023417,11/8/2019 16:19,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Palermo,La Case De Papel Post-Measure,9023417,2/21/2020 19:13,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Case De Papel Pre-Measure,9026509,12/14/2019 10:28,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Case De Papel Pre-Measure,9026179,11/26/2019 12:47,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Pre-Measure,9001061,2/28/2020 9:32,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Case De Papel Post-Measure,9001061,3/8/2020 13:32,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Tokyo,La Case De Papel Pre-Measure,9025089,11/12/2019 13:20,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Tokyo,La Case De Papel Post-Measure,9025089,12/3/2019 13:19,20,What was the Professor's real name? ,Y
